date,time,title,link
2024.12.02,22:06,11月非農數據本周出爐 台指期夜盤續漲,https://www.ctee.com.tw/news/20241202701765-430202
2024.12.02,19:00,12月2日一分鐘強弱勢股,https://www.ctee.com.tw/news/20241202701585-430204
2024.12.02,18:39,期貨最新報價 12／02期交所夜盤行情,https://www.ctee.com.tw/news/20241202701508-430202
2024.12.02,18:01,00915凱基優選高股息30 預計12／17配息0.75元,https://www.ctee.com.tw/news/20241202701453-430201
2024.12.02,17:45,00938成分股新增新產及國泰金等14檔、另刪5檔金融股等14檔,https://www.ctee.com.tw/news/20241202701430-430201
2024.12.02,17:34,《光電股》牧德11月營收年增翻倍 創3年新高,https://www.ctee.com.tw/news/20241202701560-430201
2024.12.02,17:31,《汽車股》三陽退出車輛公會 不滿動作慢半拍？,https://www.ctee.com.tw/news/20241202701558-430201
2024.12.02,17:23,《半導體》台積電2024供應鏈管理論壇 27家供應商獲獎,https://www.ctee.com.tw/news/20241202701535-430201
2024.12.02,17:20,《汽車股》NISSAN SENTRA黑化雙生版 裕日車追加200台,https://www.ctee.com.tw/news/20241202701505-430201
2024.12.02,17:17,半導體設備享成長雙引擎 四檔初評目標價全揭露,https://www.ctee.com.tw/news/20241202701369-430201
2024.12.02,17:09,下市「壁紙」變飆股！昔日巨頭暴漲155％ 連鎖10根漲停,https://www.ctee.com.tw/news/20241202701367-430201
2024.12.02,17:09,《光電股》弘凱5天漲近3成 10月獲利增7%,https://www.ctee.com.tw/news/20241202701490-430201
2024.12.02,16:59,外資買超150億元 終止連4賣,https://www.ctee.com.tw/news/20241202701333-430201
2024.12.02,16:59,12月電子期金融期齊漲,https://www.ctee.com.tw/news/20241202701014-430202
2024.12.02,16:58,賴昇楷｜台股重回攻高路徑 留意7檔潛力股,https://www.ctee.com.tw/news/20241202701348-430205
2024.12.02,16:52,北基：三引擎驅動 今年營收獲利可望創高,https://www.ctee.com.tw/news/20241202701300-430201
2024.12.02,16:51,權值股領頭衝 台股蓄勢戰月線反壓,https://www.ctee.com.tw/news/20241202701308-430206
2024.12.02,16:51,汪海華｜短線操作可參看網路聲量,https://www.ctee.com.tw/news/20241202701329-430205
